[2023-07-18 15:01:35] : The computer manufacturer is 'Dell' 
[2023-07-18 15:01:35] : Imported settings from version 4.7.1 
[2023-07-18 15:01:35] : Import item SettingsModifiedTime => ExplicitValue 
[2023-07-18 15:01:35] : Import item DownloadPath => DefaultValue 
[2023-07-18 15:01:35] : Import item CustomCatalogPaths => DefaultValue 
[2023-07-18 15:01:35] : Import item EnableDefaultDellCatalog => DefaultValue 
[2023-07-18 15:01:35] : Import item UserConsent => DefaultValue 
[2023-07-18 15:01:35] : Import item SuspendBitLocker => ExplicitValue 
[2023-07-18 15:01:35] : Import item AutoUpdateUserConsent => DefaultValue 
[2023-07-18 15:01:35] : Import item MaxRetryAttempts => DefaultValue 
[2023-07-18 15:01:35] : Import item UseDefaultProxy => DefaultValue 
[2023-07-18 15:01:35] : Import item Server => DefaultValue 
[2023-07-18 15:01:35] : Import item Port => DefaultValue 
[2023-07-18 15:01:35] : Import item UseAuthentication => DefaultValue 
[2023-07-18 15:01:35] : Import item scope:CustomProxySettings => ValidScope 
[2023-07-18 15:01:35] : Import item scope:General => ValidScope 
[2023-07-18 15:01:35] : Import item ScheduleMode => DefaultValue 
[2023-07-18 15:01:35] : Import item MonthlyScheduleMode => DefaultValue 
[2023-07-18 15:01:35] : Import item WeekOfMonth => DefaultValue 
[2023-07-18 15:01:35] : Import item Time => DefaultValue 
[2023-07-18 15:01:35] : Import item DayOfWeek => DefaultValue 
[2023-07-18 15:01:35] : Import item DayOfMonth => DefaultValue 
[2023-07-18 15:01:35] : Import item AutomationMode => ExplicitValue 
[2023-07-18 15:01:35] : Import item ScheduledExecution => DefaultValue 
[2023-07-18 15:01:35] : Import item DeferUpdate => DefaultValue 
[2023-07-18 15:01:35] : Import item DisableNotification => DefaultValue 
[2023-07-18 15:01:35] : Import item InstallationDeferral => DefaultValue 
[2023-07-18 15:01:35] : Import item DeferralInstallInterval => DefaultValue 
[2023-07-18 15:01:35] : Import item DeferralInstallCount => DefaultValue 
[2023-07-18 15:01:35] : Import item SystemRestartDeferral => DefaultValue 
[2023-07-18 15:01:35] : Import item DeferRestartInterval => DefaultValue 
[2023-07-18 15:01:35] : Import item DeferRestartCount => DefaultValue 
[2023-07-18 15:01:35] : Import item scope:Schedule => ValidScope 
[2023-07-18 15:01:35] : Import item FilterApplicableMode => DefaultValue 
[2023-07-18 15:01:35] : Import item IsCriticalUpdatesSelected => DefaultValue 
[2023-07-18 15:01:35] : Import item IsRecommendedUpdatesSelected => DefaultValue 
[2023-07-18 15:01:35] : Import item IsOptionalUpdatesSelected => ExplicitValue 
[2023-07-18 15:01:35] : Import item IsSecurityUpdatesSelected => DefaultValue 
[2023-07-18 15:01:35] : Import item scope:RecommendedLevel => ValidScope 
[2023-07-18 15:01:35] : Import item IsDriverSelected => DefaultValue 
[2023-07-18 15:01:35] : Import item IsApplicationSelected => DefaultValue 
[2023-07-18 15:01:35] : Import item IsBiosSelected => DefaultValue 
[2023-07-18 15:01:35] : Import item IsFirmwareSelected => DefaultValue 
[2023-07-18 15:01:35] : Import item IsUtilitySelected => ExplicitValue 
[2023-07-18 15:01:35] : Import item IsUpdateTypeOtherSelected => ExplicitValue 
[2023-07-18 15:01:35] : Import item scope:UpdateType => ValidScope 
[2023-07-18 15:01:35] : Import item IsAudioSelected => DefaultValue 
[2023-07-18 15:01:35] : Import item IsChipsetSelected => DefaultValue 
[2023-07-18 15:01:35] : Import item IsInputSelected => DefaultValue 
[2023-07-18 15:01:35] : Import item IsNetworkSelected => DefaultValue 
[2023-07-18 15:01:35] : Import item IsStorageSelected => DefaultValue 
[2023-07-18 15:01:35] : Import item IsVideoSelected => DefaultValue 
[2023-07-18 15:01:35] : Import item IsDeviceCategoryOtherSelected => DefaultValue 
[2023-07-18 15:01:35] : Import item scope:DeviceCategory => ValidScope 
[2023-07-18 15:01:35] : Import item scope:UpdateFilter => ValidScope 
[2023-07-18 15:01:35] : Import item IsCabSourceDell => DefaultValue 
[2023-07-18 15:01:35] : Import item CabPath => DefaultValue 
[2023-07-18 15:01:35] : Import item IsAdvancedDriverRestoreEnabled => ExplicitValue 
[2023-07-18 15:01:35] : Import item scope:AdvancedDriverRestore => ValidScope 
[2023-07-18 15:01:36] : Successfully imported settings from '.\Settings.xml'. 
[2023-07-18 15:01:36] : Settings were modified at 18/07/2023 3:01:36 pm 
[2023-07-18 15:01:36] : Execution completed. 
[2023-07-18 15:01:36] : The program exited with return code: 0 
[2023-07-18 15:01:36] : State monitoring instance total elapsed time = 00:00:01.7437525, Execution time = 2mS, Overhead = 0.161875036738299% 
[2023-07-18 15:01:36] : State monitoring disposed for application domain dcu-cli.exe 
